Code,Main_Count,Main_Perc,Train_Count,Train_Perc,Test_Count,Test_Perc,Val_Count,Val_Perc
605,40262,16.56899702052709,24157,16.568928030069205,8052,16.5682421449001,8053,16.569958847736626
502,39845,16.397389257436338,23907,16.397456737792957,7969,16.397456737792957,7969,16.397119341563787
303,20520,8.444583449933333,12312,8.444618202020617,4104,8.444618202020617,4104,8.444444444444445
411,18488,7.608355693097829,11093,7.608524180881638,3697,7.607152410543428,3698,7.609053497942386
305,14094,5.800095474822631,8456,5.799844989951782,2819,5.800530875120887,2819,5.800411522633745
104,12463,5.128891010551614,7478,5.129049294567103,2492,5.1276775242288934,2493,5.12962962962963
504,12104,4.9811519531185695,7262,4.980898098040426,2421,4.981583983209531,2421,4.981481481481481
107,11063,4.552749839503531,6638,4.552905752518913,2212,4.551533982180703,2213,4.553497942386831
201,7790,3.205814087474691,4674,3.2058272803967163,1558,3.2058272803967163,1558,3.205761316872428
501,7110,2.9259740901084794,4266,2.9259861314018805,1422,2.9259861314018805,1422,2.925925925925926
302,6965,2.8663023259642135,4179,2.8663141216897468,1393,2.8663141216897468,1393,2.866255144032922
404,5646,2.323495036955341,3387,2.323093067758596,1129,2.323093067758596,1130,2.325102880658436
403,5590,2.3004493901134175,3354,2.3004588571781315,1118,2.3004588571781315,1118,2.3004115226337447
414,4136,1.7020856310391943,2481,1.7016811045494764,827,1.7016811045494764,828,1.7037037037037037
506,4037,1.6613442196579367,2422,1.661213879572282,807,1.660527994403177,808,1.662551440329218
503,3986,1.6403562198554706,2391,1.6399514393300274,797,1.6399514393300274,798,1.6419753086419753
607,3416,1.4057844573573226,2050,1.4060645966652263,683,1.4053787114961214,683,1.4053497942386832
402,3015,1.240761164792836,1809,1.2407662709109242,603,1.2407662709109242,603,1.2407407407407407
701,2989,1.2300614001876575,1793,1.2297921082052443,598,1.2304779933743493,598,1.2304526748971194
0,2844,1.1703896360433916,1706,1.1701200984931102,569,1.1708059836622153,569,1.1707818930041152
999,2511,1.0333503432155262,1507,1.0336289498412177,502,1.0329430646721125,502,1.0329218106995885
703,2423,0.9971357553210751,1454,0.9972770358786532,485,0.9979629210477582,484,0.9958847736625513
108,2055,0.8456929332170077,1233,0.8456964135064508,411,0.8456964135064508,411,0.845679012345679
401,1023,0.42099458427299213,614,0.4211334938304629,205,0.42181937899956784,204,0.41975308641975306
405,999,0.41111787848359643,599,0.41084521629388804,200,0.4115311014629931,200,0.411522633744856
410,884,0.36379199657607536,530,0.36351913962564386,177,0.36420502479474887,177,0.36419753086419754
413,846,0.34815387907619877,508,0.34842966590533414,169,0.34774378073622914,169,0.3477366255144033
415,836,0.3440385849972839,502,0.34431435489070417,167,0.3436284697215992,167,0.3436213991769547
202,691,0.2843668208530182,415,0.2846423451785702,138,0.28395646000946523,138,0.2839506172839506
301,655,0.26955176216892457,393,0.26955287145826046,131,0.26955287145826046,131,0.26954732510288065
406,624,0.25679435052428845,374,0.25652105324526564,125,0.25720693841437064,125,0.257201646090535
409,558,0.22963340960345024,335,0.2297715316501711,112,0.23045741681927612,111,0.22839506172839508
304,361,0.14856211624882715,217,0.1488370816957825,72,0.1481511965266775,72,0.14814814814814814
706,321,0.13210093993316763,193,0.13237583763726277,64,0.1316899524681578,64,0.13168724279835392
408,318,0.13086635170949315,191,0.13100406729905278,64,0.1316899524681578,63,0.12962962962962962
416,274,0.11275905776226769,164,0.11248516773321811,55,0.1131710529023231,55,0.11316872427983539
412,241,0.09917858730184859,145,0.09945334952022333,48,0.09876746435111834,48,0.09876543209876544
601,241,0.09917858730184859,145,0.09945334952022333,48,0.09876746435111834,48,0.09876543209876544
606,146,0.06008329355215723,88,0.06035789488123898,29,0.059672009712133996,29,0.05967078189300411
603,143,0.05884870532848278,86,0.058986124543029005,29,0.059672009712133996,28,0.05761316872427984
101,139,0.057202587696916815,83,0.05692846903571404,28,0.05761435420481903,28,0.05761316872427984
705,110,0.04526823486806367,66,0.04526842116092924,22,0.04526842116092924,22,0.04526748971193416
203,84,0.03456847026288499,50,0.03429425845524942,17,0.034980143624354414,17,0.03497942386831276
704,68,0.02798399973662118,41,0.028121291933304527,14,0.028807177102409515,13,0.026748971193415638
103,60,0.024691764473489274,36,0.024691866087779585,12,0.024691866087779585,12,0.02469135802469136
106,22,0.009053646973612734,13,0.00891650719836485,5,0.010288277536574828,4,0.00823045267489712
